Id,name,popularity,followers,genres,image,Spotify ID
1716,Porter Robinson,60,570285,"big room, brostep, complextro, edm, electro house, electronic trap, progressive electro house",3dz0NnIZhtKKeXZxLOxCam.jpg,3dz0NnIZhtKKeXZxLOxCam
1717,Madeon,58,392266,"big room, complextro, edm, electro house, electropop, filter house",4pb4rqWSoGUgxm63xmJ8xc.jpg,4pb4rqWSoGUgxm63xmJ8xc
1718,Amy Millan,45,2857,,3lj7jldByrrpUgW5Je8o1p.jpg,3lj7jldByrrpUgW5Je8o1p
1719,Urban Cone,49,65100,swedish indie pop,3WOOglGBDGvr6c2WBeMAWn.jpg,3WOOglGBDGvr6c2WBeMAWn
1720,Breanne Düren,35,2701,,0qN4IkrOJAycUyQsdNUZ3w.jpg,0qN4IkrOJAycUyQsdNUZ3w
1721,Sean Caskey,35,76,,6zQ3DdpGgNBLeqQY8Y4bDu.jpg,6zQ3DdpGgNBLeqQY8Y4bDu
1722,Medasin,60,26600,,62vbsDRAq0qHdezaCOzB0T.jpg,62vbsDRAq0qHdezaCOzB0T
1723,ZHU,67,353192,"edm, tropical house",28j8lBWDdDSHSSt5oPlsX2.jpg,28j8lBWDdDSHSSt5oPlsX2
1724,Ofenbach,66,146439,tropical house,4AKwRarlmsUlLjIwt38NLw.jpg,4AKwRarlmsUlLjIwt38NLw
1725,PRhyme,45,30827,"alternative hip hop, detroit hip hop, hip hop, southern hip hop, underground hip hop",4ypEjUTTCcPB0dgjQBQyf5.jpg,4ypEjUTTCcPB0dgjQBQyf5
1726,Dwele,48,120431,"neo soul, r&b, urban contemporary",7u6LfVyYpEzMpHLL7jTyvU.jpg,7u6LfVyYpEzMpHLL7jTyvU
1727,L,38,166,,6RKkv8ifCycviCLGwiiNmw.jpg,6RKkv8ifCycviCLGwiiNmw
1728,OG,34,276,,2x8QwFVWgig0KGaWHtRxGh.jpg,2x8QwFVWgig0KGaWHtRxGh
1729,I-C,25,18,,3USy3sONjza2FP4sXprG1M.jpg,3USy3sONjza2FP4sXprG1M
1730,Yelawolf,64,765217,"dirty south rap, hip hop, pop rap, rap, southern hip hop",68DWke2VjdDmA75aJX5C57.jpg,68DWke2VjdDmA75aJX5C57
1731,Primus,56,356299,"alternative metal, alternative rock, comic, funk metal, funk rock, garage rock, hard rock, nu metal, post-grunge, rock",64mPnRMMeudAet0E62ypkx.jpg,64mPnRMMeudAet0E62ypkx
1732,Prince,69,2493242,"funk, motown",5a2EaR3hamoenG9rDuVn8j.jpg,5a2EaR3hamoenG9rDuVn8j
1733,Prophets Of Rage,52,190116,"alternative metal, nu metal, post-grunge, rap metal, rap rock",1fSzW5cXBmquli5laFnoGY.jpg,1fSzW5cXBmquli5laFnoGY
1734,PSY,56,975830,"dance pop, k-hop, k-pop",2dd5mrQZvg6SmahdgVKDzh.jpg,2dd5mrQZvg6SmahdgVKDzh
1735,CL,52,330353,k-pop,0tzSBCPJZmHTdOA3ZV2mN3.jpg,0tzSBCPJZmHTdOA3ZV2mN3
1736,TAEYANG,57,467114,k-pop,6udveWUgX4vu75FF0DTrXV.jpg,6udveWUgX4vu75FF0DTrXV
1737,G-DRAGON,58,983640,"dance pop, k-hop, k-pop, korean pop",30b9WulBM8sFuBo17nNq9c.jpg,30b9WulBM8sFuBo17nNq9c
1738,Lee Sungkyoung,29,749,,1Wb9XdKikumNOEgLPwFtq9.jpg,1Wb9XdKikumNOEgLPwFtq9
1739,B.I.,28,22856,,0UntV1Bw2hk3fbRrm9eMP6.jpg,0UntV1Bw2hk3fbRrm9eMP6
1740,BOBBY,48,111263,k-pop,7ieMQQDR0bdBPz572mtxwS.jpg,7ieMQQDR0bdBPz572mtxwS
1741,Punch Brothers,53,122891,"banjo, bluegrass, chamber pop, folk-pop, indie folk, indie pop, new americana, progressive bluegrass, stomp and holler",4gFssfOmWNY3LfIZ3zyoy4.jpg,4gFssfOmWNY3LfIZ3zyoy4
1742,Purity Ring,56,420595,"chillwave, edmonton indie, electropop, grave wave, indie pop, indie r&b, indietronica, metropopolis, pop, shimmer pop",1TtJ8j22Roc24e2Jx3OcU4.jpg,1TtJ8j22Roc24e2Jx3OcU4
1743,Puscifer,52,223305,"alternative metal, alternative rock, funk rock, industrial metal, industrial rock, nu metal, post-grunge",2pAajGWerK3ghwToNWFENS.jpg,2pAajGWerK3ghwToNWFENS
1744,Pvris,58,353617,"pixie, pop emo, pop punk",6oFs3qk4VepIVFdoD4jmsy.jpg,6oFs3qk4VepIVFdoD4jmsy
1745,Queen,81,8475363,"glam rock, rock",1dfeR4HaWDbWqFHLkxsg1d.jpg,1dfeR4HaWDbWqFHLkxsg1d
1746,Queen Naija,61,208547,"deep pop r&b, pop, r&b",3nViOFa3kZW8OMSNOzwr98.jpg,3nViOFa3kZW8OMSNOzwr98
1747,Queens of the Stone Age,69,1481125,"alternative metal, alternative rock, blues-rock, garage rock, modern rock, neo-psychedelic, nu metal, post-grunge, rock, stoner metal, stoner rock",4pejUc4iciQfgdX6OKulQn.jpg,4pejUc4iciQfgdX6OKulQn
1748,Queensrÿche,52,216988,"album rock, glam metal, hard rock, metal, progressive metal, rock, speed metal",2OgUPVlWYgGBGMefZgGvCO.jpg,2OgUPVlWYgGBGMefZgGvCO
1749,R. City,66,94259,alternative r&b,4TH4BHy0LdBi3dpBW4P2UX.jpg,4TH4BHy0LdBi3dpBW4P2UX
1750,Chloe Angelides,46,1771,,79A4RmgwxYGIDkqQDUHLXK.jpg,79A4RmgwxYGIDkqQDUHLXK
1751,R. Kelly,70,1604338,,2mxe0TnaNL039ysAj51xPQ.jpg,2mxe0TnaNL039ysAj51xPQ
